"","Date","PM2.5.AQI.Value","Site.Name","Site.ID","Source","X20.year.High..2000.2019.","X20.year.Low..2000.2019.","X5.year.Average..2015.2019.","Date.of.20.year.High","Date.of.20.year.Low"
"224","08/11/2016",58,"Donovan","06-073-1014","AQS",71,40,"54.6","08/11/2002","08/11/2015"
"225","08/12/2016",52,"Alpine","06-073-1006","AQS",76,40,"51.6","08/12/2002","08/12/2015"
"226","08/13/2016",52,"El Cajon - Lexington Elementary School","06-073-1022","AQS",79,41,"53.2","08/13/2002","08/13/2018"
"227","08/14/2016",59,"El Cajon - Lexington Elementary School","06-073-1022","AQS",82,32,"58.4","08/14/2002","08/14/2014"
"228","08/15/2016",64,"Camp Pendleton","06-073-1008","AQS",82,30,"54.8","08/15/2002","08/15/2014"
"229","08/16/2016",58,"El Cajon - Lexington Elementary School","06-073-1022","AQS",101,38,"56.8","08/16/2008","08/16/2014"
"230","08/17/2016",63,"Camp Pendleton","06-073-1008","AQS",74,33,"60.4","08/17/2002","08/17/2014"
"231","08/18/2016",59,"El Cajon - Lexington Elementary School","06-073-1022","AQS",77,44,"61","08/18/2009","08/18/2005"
"232","08/19/2016",53,"Camp Pendleton","06-073-1008","AQS",74,35,"56.4","08/19/2009","08/19/2005"
"233","08/20/2016",55,"Camp Pendleton","06-073-1008","AQS",74,34,"55.6","08/20/2018","08/20/2008"
"234","08/21/2016",55,"Camp Pendleton","06-073-1008","AQS",84,36,"64.8","08/21/2018","08/21/2004"
"235","08/22/2016",56,"El Cajon - Lexington Elementary School","06-073-1022","AQS",89,28,"67.2","08/22/2018","08/22/2004"
"236","08/23/2016",56,"Camp Pendleton","06-073-1008","AQS",97,23,"62","08/23/2013","08/23/2004"
"237","08/24/2016",60,"El Cajon - Lexington Elementary School","06-073-1022","AQS",93,21,"69.6","08/24/2018","08/24/2004"
"238","08/25/2016",60,"El Cajon - Lexington Elementary School","06-073-1022","AQS",110,29,"73.4","08/25/2018","08/25/2014"
"239","08/26/2016",57,"Donovan","06-073-1014","AQS",142,37,"82","08/26/2018","08/26/2004"
"240","08/27/2016",53,"El Cajon - Lexington Elementary School","06-073-1022","AQS",91,35,"65.8","08/27/2018","08/27/2004"
"241","08/28/2016",58,"Camp Pendleton","06-073-1008","AQS",83,43,"65","08/28/2018","08/28/2007"
"242","08/29/2016",65,"Camp Pendleton","06-073-1008","AQS",80,37,"69.2","08/29/2017","08/29/2000"
"243","08/30/2016",69,"El Cajon - Lexington Elementary School","06-073-1022","AQS",88,34,"64.4","08/30/2017","08/30/2000"
"244","08/31/2016",68,"El Cajon - Lexington Elementary School","06-073-1022","AQS",76,31,"64.6","08/31/2017","08/31/2000"
